id,name,brand,price,rating,dpi,hand_orientation,model,scrape_datetime
205,endgame_gear_op1we_wireless_gaming_mouse_lightweight_58_5g_swappable_kailh_go_main_button_switches_pixart_paw3370_optical_sensor_19k_dpi_1khz_polling_rate_white,,283.31,,,,EGG-OP1WE-WHT,2024-09-15 17:39:07
206,roccat_kone_xp_air_wireless_optical_gaming_mouse_roc_11_446_01,,283.31,,,,ROC-11-446-01,2024-09-15 17:39:07
207,glorious_model_d_wireless_gaming_mouse_69g_superlight_lag_free_2_4ghz_wireless_up_to_71_hour_battery_rgb_bamf_sensor_ergonomic_6_buttons_matte_white,,256.11,,,,Glorious GLO-MS-DW-MW,2024-09-15 17:39:07
208,endgame_gear_xm2we_wireless_mouse_white_egg_xm2we_wht,,241.80,,,,EGG-XM2WE-WHT,2024-09-15 17:39:07
209,roccat_kone_pure_usb_wired_laser_gaming_mouse_black,,246.10,,,,ROC-11-700,2024-09-15 17:39:07
210,roccat_kone_xp_air_wireless_customizable_ergonomic_rgb_gaming_mouse_19k_dpi_optical_sensor_100_hour_battery_charging_dock_29_programmable_inputs_aimo_rgb_lighting_4d_wheel_white,,293.32,,,,CGMDE3335,2024-09-15 17:39:07
211,mad_catz_r_a_t_8_adv_gaming_mouse_usb_red_20000dpi_11_buttons_mr06dcinrd000_0,,229.25,,,,RNAB08FGWWTK7,2024-09-15 17:39:07
212,gravastar_mercury_m2_wireless_gaming_mouse_with_26_000_dpi_paw3395dm_sensor_79g_lightweight_hollowed_out_design_5_programmable_buttons_5_dynamic_lightsync_rgb_stealth_black,,138.18,,,,019Gstar_M2_black,2024-09-15 17:39:07
213,newstyp_cute_rgb_6400_dpi_wired_gaming_mouse_breathing_led_optical_usb_7_buttons_gamer_computer_pink_mice_for_laptop_pc_desktop,,39.95,,,,CW905,2024-09-15 17:39:07
214,logitech_g502_se_hero_panda_special_edition_panda_black_and_white_color_matching_edition_rgb_backlit_mouse_logitech_wired_gaming_mouse,,110.72,,,,B-Logitech G502se panda black,2024-09-15 17:39:07
215,logitech_g703_lightspeed_wireless_gaming_mouse_pmw3366_cable_wireless_radio_frequency_black_usb_12000_dpi,,193.31,,,,23326p913g,2024-09-15 17:39:07
216,logitech_g305_lightspeed_wireless_gaming_mouse_black,,89.21,,,,SAL-203586415522,2024-09-15 17:39:07
